Date,Time (UTC),Active Power L1 (W),
6/6/2022,23:49:06:749,15.17537308,
6/6/2022,23:50:06:749,15.33084583,
6/6/2022,23:51:06:749,15.05099487,
6/6/2022,23:52:06:749,15.03980064,
6/6/2022,23:53:06:749,15.35572147,
6/6/2022,23:54:06:749,15.19278622,
6/6/2022,23:55:06:749,15.18905449,
6/6/2022,23:56:06:749,15.11940289,
6/6/2022,23:57:06:749,15.1169157,
6/6/2022,23:58:06:749,15.03358173,
6/6/2022,23:59:06:749,15.02114391,
6/7/2022,00:00:06:749,15.16169167,
6/7/2022,00:01:06:749,15.22636795,
6/7/2022,00:02:06:749,15.09079647,
6/7/2022,00:03:06:749,15.10696507,
6/7/2022,00:04:06:749,15.21268654,
6/7/2022,00:05:06:749,15.07587051,
6/7/2022,00:06:06:749,15.14179134,
6/7/2022,00:07:06:749,15.29601955,
6/7/2022,00:08:06:749,14.96019936,
6/7/2022,00:09:06:749,15.23383045,
6/7/2022,00:10:06:749,14.97139263,
6/7/2022,00:11:06:749,15.27985096,
6/7/2022,00:11:13:157,156.3072205,
6/7/2022,00:11:13:208,1018.915405,
6/7/2022,00:11:13:257,1450.481323,
6/7/2022,00:11:13:307,1506.987549,
6/7/2022,00:11:13:357,1361.223877,
6/7/2022,00:11:13:407,1062.797241,
6/7/2022,00:11:13:457,907.2550049,
6/7/2022,00:11:13:507,876.1815796,
6/7/2022,00:11:13:557,872.4900513,
6/7/2022,00:11:13:607,875.1467896,
6/7/2022,00:11:13:657,874.6231079,
6/7/2022,00:11:13:707,873.7375488,
6/7/2022,00:11:13:757,871.1604614,
6/7/2022,00:11:13:807,868.0211182,
6/7/2022,00:11:13:857,862.267395,
6/7/2022,00:11:13:907,852.8084717,
6/7/2022,00:11:13:957,838.2474976,
6/7/2022,00:11:14:007,815.3868408,
6/7/2022,00:11:14:057,783.2525024,
6/7/2022,00:11:14:107,733.8308716,
6/7/2022,00:11:14:157,653.5422974,
6/7/2022,00:11:14:207,510.276123,
6/7/2022,00:11:14:257,353.0895386,
6/7/2022,00:11:14:307,258.7698975,
6/7/2022,00:11:14:357,216.4776154,
6/7/2022,00:11:14:407,195.4465179,
6/7/2022,00:11:14:457,184.5149231,
6/7/2022,00:11:14:507,176.7077179,
6/7/2022,00:11:14:557,171.7786102,
6/7/2022,00:11:14:607,167.593277,
6/7/2022,00:11:14:657,164.935318,
6/7/2022,00:11:14:707,162.6218872,
6/7/2022,00:11:14:757,160.7350769,
6/7/2022,00:11:14:807,159.3345795,
6/7/2022,00:11:14:857,157.6156769,
6/7/2022,00:11:14:907,156.9490051,
6/7/2022,00:11:14:957,155.8582153,
6/7/2022,00:11:15:007,155.5758667,
6/7/2022,00:11:15:057,154.9017487,
6/7/2022,00:11:15:107,154.5136871,
6/7/2022,00:11:15:157,154.3059692,
6/7/2022,00:11:15:207,154.0808411,
6/7/2022,00:11:15:257,153.8818359,
6/7/2022,00:11:15:307,153.7537384,
6/7/2022,00:11:15:357,153.2736359,
6/7/2022,00:11:15:407,153.2487488,
6/7/2022,00:11:15:457,153.2288513,
6/7/2022,00:11:15:507,153.0584564,
6/7/2022,00:11:15:557,153.0435333,
6/7/2022,00:11:15:607,153.1716461,
6/7/2022,00:11:15:657,152.6679077,
6/7/2022,00:11:15:707,152.6990051,
6/7/2022,00:11:15:757,152.5771179,
6/7/2022,00:11:15:807,152.7935333,
6/7/2022,00:11:15:858,152.7102051,
6/7/2022,00:11:15:907,152.657959,
6/7/2022,00:11:15:957,152.6318359,
6/7/2022,00:11:16:007,152.4701538,
6/7/2022,00:11:16:057,152.7537384,
6/7/2022,00:11:16:107,152.9888,
6/7/2022,00:11:16:157,153.1504974,
6/7/2022,00:12:16:157,163.1554718,
6/7/2022,00:13:16:157,154.6044769,
6/7/2022,00:14:16:157,151.6405487,
6/7/2022,00:15:16:157,149.4303436,
6/7/2022,00:16:16:157,148.5522461,
6/7/2022,00:17:16:157,148.5223846,
6/7/2022,00:18:16:157,148.2263641,
6/7/2022,00:19:16:157,148.5422821,
6/7/2022,00:20:16:157,149.1094513,
6/7/2022,00:21:16:157,149.7612,
6/7/2022,00:22:16:157,150.4701538,
6/7/2022,00:23:16:157,151.1517487,
6/7/2022,00:24:16:157,150.6455231,
6/7/2022,00:25:16:157,149.1766205,
6/7/2022,00:26:16:157,145.0522461,
6/7/2022,00:27:16:157,141.9452667,
6/7/2022,00:28:16:157,140.4539795,
6/7/2022,00:29:16:157,139.4029846,
6/7/2022,00:30:16:157,142.1865692,
6/7/2022,00:31:16:157,141.5049744,
6/7/2022,00:32:16:157,139.6293488,
6/7/2022,00:33:16:157,138.0186615,
6/7/2022,00:34:16:157,137.5410461,
6/7/2022,00:35:16:157,135.8283539,
6/7/2022,00:36:16:157,134.8507538,
6/7/2022,00:37:16:157,134.5211487,
6/7/2022,00:38:16:157,134.4402924,
6/7/2022,00:39:16:157,134.2612,
6/7/2022,00:40:16:157,133.314682,
6/7/2022,00:41:16:157,133.184082,
6/7/2022,00:42:16:157,132.6417847,
6/7/2022,00:43:16:157,132.3607025,
6/7/2022,00:44:16:157,132.1592102,
6/7/2022,00:45:16:157,131.7574615,
6/7/2022,00:46:16:157,131.843277,
6/7/2022,00:47:16:158,131.1131897,
6/7/2022,00:48:16:157,131.2027435,
6/7/2022,00:49:16:157,130.565918,
6/7/2022,00:50:16:157,130.3706512,
6/7/2022,00:51:16:157,129.4514923,
6/7/2022,00:52:16:157,129.6641846,
