Date,Time (UTC),Active Power L1 (W),Reactive Power L1 (Var),Active Power L3 (W),,,
6/6/2022,21:07:06:319,681.4295044,64.84837341,0.313445032,,,
6/6/2022,21:07:06:369,688.6387329,65.28531647,0.268667161,,,
6/6/2022,21:07:06:419,694.012085,75.46307373,0.268667161,,,
6/6/2022,21:07:06:469,694.3255615,66.19257355,0.403000772,,,
6/6/2022,21:07:06:519,695.6688843,69.92211151,0.447778642,,,
6/6/2022,21:07:06:569,698.4451294,78.11207581,0.358222902,,,
6/6/2022,21:07:06:619,699.5645752,75.65375519,0.313445032,,,
6/6/2022,21:07:06:669,701.0869751,86.49510193,0.134333581,,,
6/6/2022,21:07:06:719,697.5047607,79.36729431,-0.089555725,,,
6/6/2022,21:07:06:769,692.3552856,85.27600098,-0.223889321,,,
6/6/2022,21:07:06:819,686.3551025,86.54766846,-0.223889321,,,
6/6/2022,21:07:06:869,684.1162109,73.81721497,-0.134333581,,,
6/6/2022,21:07:06:919,684.7878418,85.83953094,0.044777863,,,
6/6/2022,21:07:06:969,683.444519,74.34432983,0.179111451,,,
6/6/2022,21:08:09:069,636.0247803,71.83368683,-0.179111451,,,
6/6/2022,21:08:09:496,741.4318237,65.2264328,-0.268667161,,,
6/6/2022,21:08:09:547,760.4624634,60.76085663,-0.179111451,,,
6/6/2022,21:08:09:597,775.4182739,58.43587875,-0.223889321,,,
6/6/2022,21:08:09:647,786.388855,60.53750229,-0.358222902,,,
6/6/2022,21:08:09:697,793.4189453,59.41689682,-0.268667161,,,
6/6/2022,21:08:09:747,802.105835,54.07057571,-0.179111451,,,
6/6/2022,21:08:09:797,807.5687256,64.7349472,-0.179111451,,,
6/6/2022,21:08:09:847,804.7925415,66.04805756,0.044777863,,,
6/6/2022,21:08:09:897,807.1209717,47.84740829,-0.044777863,,,
6/6/2022,21:08:09:947,816.8825684,62.42298889,0.044777863,,,
6/6/2022,21:08:09:997,823.5544434,67.02962494,0.134333581,,,
6/6/2022,21:08:10:047,822.8380127,73.59438324,0,,,
6/6/2022,21:08:10:097,820.1513062,77.78401947,-0.089555725,,,
6/6/2022,21:08:10:147,815.5391846,73.49921417,-0.179111451,,,
6/6/2022,21:08:10:197,812.0465698,67.05484772,-0.134333581,,,
6/6/2022,21:08:10:247,816.0765381,67.9943924,-0.089555725,,,
6/6/2022,21:08:10:297,816.4347534,70.15411377,-0.089555725,,,
6/6/2022,21:08:10:347,813.8824463,49.51435089,-0.134333581,,,
6/6/2022,21:08:10:397,814.2854614,51.53149033,-0.044777863,,,
6/6/2022,21:08:10:447,809.8076172,61.70574188,-0.223889321,,,
6/6/2022,21:08:10:497,808.777771,64.61592102,-0.358222902,,,
6/6/2022,21:08:10:547,809.2703247,57.37747574,-0.223889321,,,
6/6/2022,21:08:10:597,810.703186,60.4445076,-0.179111451,,,
6/6/2022,21:08:10:647,812.7630005,69.75854492,0.089555725,,,
6/6/2022,21:08:10:697,811.8226318,73.88400269,0.313445032,,,
6/6/2022,21:08:10:747,810.0315552,69.73620605,0.358222902,,,
6/6/2022,21:08:10:797,807.927002,71.67089081,-0.044777863,,,
6/6/2022,21:08:12:198,809.1807861,72.58457184,-0.313445032,,,
6/6/2022,21:08:12:248,811.2853394,62.44673538,-0.537334323,,,
6/6/2022,21:08:12:298,810.9718628,67.64469147,-0.447778642,,,
6/6/2022,21:08:12:348,810.8823242,65.62745667,-0.313445032,,,
