Date,Time (UTC),Active Power L1 (W)
6/1/2022,23:10:28:388,151.6828308
6/1/2022,23:10:28:438,151.5907898
6/1/2022,23:11:28:438,160.5522461
6/1/2022,23:12:28:438,153.815918
6/1/2022,23:13:28:438,152.4664154
6/1/2022,23:14:28:438,151.4975128
6/1/2022,23:15:28:438,151.7649231
6/1/2022,23:16:28:438,152.3358154
6/1/2022,23:17:28:438,151.9589539
6/1/2022,23:18:28:438,150.6641846
6/1/2022,23:19:28:438,149.2549744
6/1/2022,23:20:28:438,147.9427795
6/1/2022,23:21:28:438,146.5970154
6/1/2022,23:22:28:438,145.7587128
6/1/2022,23:23:28:438,145.8880615
6/1/2022,23:24:28:438,145.1691589
6/1/2022,23:25:28:438,144.8519897
6/1/2022,23:26:28:438,143.3768616
6/1/2022,23:27:28:438,142.1691589
6/1/2022,23:28:28:438,140.4713898
6/1/2022,23:29:28:439,138.4813385
6/1/2022,23:30:28:438,137.1480103
6/1/2022,23:31:28:438,136.1144257
6/1/2022,23:32:28:438,135.5410461
6/1/2022,23:33:28:438,134.7425385
6/1/2022,23:34:28:438,134.0447693
6/1/2022,23:35:28:438,133.3047333
6/1/2022,23:36:28:438,133.2064667
6/1/2022,23:37:28:438,132.7537384
6/1/2022,23:38:28:438,133.0248718
6/1/2022,23:39:28:438,131.7873077
6/1/2022,23:40:28:438,131.8607025
6/1/2022,23:41:28:438,131.8942719
6/1/2022,23:42:28:438,130.8320923
6/1/2022,23:43:28:438,130.2562256
6/1/2022,23:44:28:438,130.1368103
6/1/2022,23:45:28:438,129.223877
6/1/2022,23:46:28:438,129.0236359
6/1/2022,23:47:28:438,128.4639282
6/1/2022,23:48:28:438,128.4602051
6/1/2022,23:49:28:438,127.7786102
6/1/2022,23:50:28:438,127.8395538
6/1/2022,23:51:28:438,127.1679077
6/1/2022,23:52:28:438,127.6554718
6/1/2022,23:53:28:438,127.3072128
6/1/2022,23:54:28:438,126.6679077
6/1/2022,23:55:03:132,25.13681602
6/1/2022,23:55:03:183,16.76990128
6/1/2022,23:55:03:232,15.25373173
6/1/2022,23:55:03:283,15.07213974
6/1/2022,23:55:03:333,14.79601955
6/1/2022,23:55:03:382,14.90920353
6/1/2022,23:55:03:432,14.93532372
6/1/2022,23:55:03:482,15.30970192
6/1/2022,23:55:03:533,15.52487564
6/1/2022,23:55:03:582,15.58084583
6/1/2022,23:55:03:632,15.50248718
6/1/2022,23:55:03:682,15.20895481
6/1/2022,23:55:03:732,15.21144295
6/1/2022,23:55:03:782,15.00870609
6/1/2022,23:55:03:832,15.26865673
6/1/2022,23:55:03:882,15.36318398
6/1/2022,23:55:03:932,15.2425375
6/1/2022,23:55:03:982,15.27238846
6/1/2022,23:55:04:032,15.21890545
6/1/2022,23:55:04:082,15.10820866
6/1/2022,23:55:04:132,14.8669157
6/1/2022,23:55:04:182,14.78358173
6/1/2022,23:55:04:232,14.85323429
6/1/2022,23:55:04:282,15.09328365
6/1/2022,23:55:04:332,15.6878109
6/1/2022,23:55:04:382,15.53606987
6/1/2022,23:55:04:432,15.6791048
6/1/2022,23:55:04:482,15.44776154
6/1/2022,23:55:04:532,15.41044807
6/1/2022,23:55:04:582,15.04228878
6/1/2022,23:55:04:632,15.14552212
6/1/2022,23:55:04:682,15.21393013
6/1/2022,23:55:04:732,15.28606987
6/1/2022,23:55:04:782,15.26865673
6/1/2022,23:55:04:832,15.09452724
6/1/2022,23:55:04:882,15.43407917
6/1/2022,23:55:04:932,15.57338333
6/1/2022,23:55:04:982,15.57213974
6/1/2022,23:55:05:032,15.43159199
6/1/2022,23:55:05:082,15.24004936
6/1/2022,23:55:05:132,15.17164135
6/1/2022,23:55:05:182,14.82213974
6/1/2022,23:55:05:232,15.01119423
6/1/2022,23:55:05:282,15.09079647
6/1/2022,23:55:05:332,15.35198975
6/1/2022,23:55:05:382,15.46766186
6/1/2022,23:55:05:432,15.18407917
6/1/2022,23:55:05:482,15.1803484
6/1/2022,23:55:05:532,15.13059711
6/1/2022,23:55:05:582,15.14801025
6/1/2022,23:55:05:632,15.24502468
6/1/2022,23:55:05:682,15.20398045
6/1/2022,23:55:05:732,15.36815929
6/1/2022,23:55:05:782,15.11318398
6/1/2022,23:55:05:832,15.08706474
6/1/2022,23:55:05:882,14.94900513
6/1/2022,23:55:05:932,15.04477596
6/1/2022,23:55:05:982,14.97263718
6/1/2022,23:55:06:032,15.28482628
6/1/2022,23:55:06:082,15.50995064
6/1/2022,23:55:06:132,15.49751282
6/1/2022,23:56:06:132,15.2574625
6/1/2022,23:57:06:132,15.1803484
6/1/2022,23:58:06:132,15.0696516
6/1/2022,23:59:06:132,15.07587051
6/2/2022,00:00:06:132,15.42288589
6/2/2022,00:01:06:132,15.41293526
6/2/2022,00:02:06:132,14.98258686
6/2/2022,00:03:06:132,15.0547266
6/2/2022,00:04:06:132,15.16169167
6/2/2022,00:05:06:132,15.10820866
6/2/2022,00:06:06:132,15.1094532
6/2/2022,00:07:06:132,15.27238846
6/2/2022,00:08:06:132,15.03731346
6/2/2022,00:09:06:132,15.36442757
6/2/2022,00:10:06:132,15.35447788
6/2/2022,00:11:06:132,15.3047266
6/2/2022,00:12:06:132,15.32711411
6/2/2022,00:13:06:132,15.25
6/2/2022,00:14:06:132,15.12935352
6/2/2022,00:15:06:132,15.03606987
6/2/2022,00:16:06:132,15.01119423
6/2/2022,00:17:06:132,15.14427853
6/2/2022,00:18:06:132,15.17288589
6/2/2022,00:19:06:132,15.00995064
6/2/2022,00:20:06:132,15.00870609
6/2/2022,00:21:06:132,15.34577084
6/2/2022,00:22:06:132,15.18159199
6/2/2022,00:23:06:132,15.18407917
6/2/2022,00:24:06:132,15.29975128
6/2/2022,00:25:06:132,15.22885609
6/2/2022,00:26:06:133,15.24378109
6/2/2022,00:27:06:132,15.09950256
6/2/2022,00:28:06:132,15.05845737
6/2/2022,00:29:06:132,15.54850769
6/2/2022,00:30:06:132,15.32462692
6/2/2022,00:30:20:749,128.7301025
6/2/2022,00:30:20:799,990.9937744
6/2/2022,00:30:20:849,1452.813477
6/2/2022,00:30:20:899,1517.080811
6/2/2022,00:30:20:949,1352.813477
6/2/2022,00:30:20:999,1051.389282
6/2/2022,00:30:21:049,913.2313232
6/2/2022,00:30:21:099,888.0422974
6/2/2022,00:30:21:149,885.3059692
6/2/2022,00:30:21:199,887.2313232
6/2/2022,00:30:21:249,886.4415283
6/2/2022,00:30:21:299,886.6392822
